iter	RMSE
0	11.7630698
1	11.58605991
2	11.41613606
3	11.2522285
4	11.0934166
5	10.94500441
6	10.80128984
7	10.66331383
8	10.53036962
9	10.4033073
10	10.282353
11	10.16597742
12	10.05513162
13	9.948424082
14	9.84590385
15	9.747607016
16	9.654849396
17	9.565977719
18	9.481257398
19	9.399931152
20	9.321782467
21	9.246988381
22	9.177063998
23	9.109771882
24	9.044091839
25	8.982437937
26	8.924316045
27	8.868937352
28	8.815999093
29	8.764158391
30	8.715142496
31	8.668269869
32	8.623110252
33	8.580391624
34	8.539663488
35	8.50131858
36	8.464733876
37	8.429407941
38	8.395121934
39	8.363203629
40	8.333168907
41	8.303904814
42	8.276330418
43	8.249961443
44	8.224554662
45	8.200227844
46	8.177384843
47	8.155955668
48	8.135450444
49	8.115478115
50	8.09596514
51	8.077965038
52	8.060487288
53	8.044675231
54	8.029051967
55	8.013883082
56	7.999913401
57	7.986712073
58	7.973795823
59	7.961296246
60	7.949452962
61	7.938127955
62	7.92712722
63	7.916606613
64	7.906063567
65	7.896505431
66	7.886843605
67	7.877315501
68	7.868474326
69	7.860164433
70	7.852368848
71	7.8448447
72	7.837818308
73	7.83044401
74	7.823541846
75	7.816950852
76	7.810749297
77	7.80469858
78	7.799068144
79	7.793687707
80	7.788300751
81	7.783070104
82	7.778294995
83	7.773803425
84	7.769235411
85	7.764809183
86	7.760651104
87	7.756516988
88	7.752621283
89	7.748676097
90	7.744993632
91	7.741387217
92	7.73787121
93	7.73445751
94	7.730991746
95	7.727653527
96	7.724550708
97	7.721576375
98	7.718594338
99	7.715750021
100	7.713058096
101	7.710503803
102	7.707907595
103	7.705389855
104	7.7030716
105	7.70069589
106	7.698380731
107	7.695890738
108	7.693748872
109	7.691570848
110	7.68947177
111	7.687501387
112	7.685578901
113	7.683749775
114	7.681820832
115	7.680079385
116	7.678356791
117	7.676724697
118	7.675028234
119	7.673367678
120	7.671882273
121	7.67043613
122	7.668827373
123	7.66712565
124	7.665551375
125	7.664257282
126	7.662828638
127	7.661206326
128	7.659918872
129	7.65840559
130	7.657189937
131	7.65596592
132	7.654828672
133	7.653601874
134	7.652224848
135	7.651106052
136	7.650004989
137	7.648919749
138	7.64774951
139	7.646700867
140	7.645757841
141	7.644794216
142	7.64365259
143	7.642290445
144	7.641247368
145	7.640202972
146	7.639309828
147	7.638255133
148	7.637298973
149	7.63629711
150	7.63532716
151	7.634548753
152	7.633372729
153	7.632400105
154	7.631510647
155	7.630633974
156	7.629826084
157	7.629083203
158	7.628169391
159	7.627330682
160	7.626583773
161	7.625503277
162	7.624698818
163	7.624008706
164	7.623056679
165	7.622197861
166	7.621492445
167	7.620676512
168	7.620049189
169	7.61910136
170	7.618348355
171	7.617699012
172	7.617089944
173	7.616397464
174	7.615694751
175	7.615162654
176	7.614429118
177	7.613465963
178	7.612709775
179	7.612081932
180	7.611404261
181	7.610464267
182	7.609886181
183	7.609095086
184	7.608341177
185	7.60765542
186	7.606927626
187	7.606199004
188	7.605592076
189	7.604886791
190	7.604376031
191	7.603778534
192	7.603210486
193	7.602652583
194	7.601966706
195	7.601260806
196	7.600631457
197	7.599994068
198	7.599201297
199	7.598545263
200	7.597972801
201	7.597193784
202	7.596627998
203	7.596014967
204	7.595493616
205	7.594761006
206	7.594104575
207	7.593568215
208	7.592913784
209	7.592223804
210	7.591726765
211	7.591285743
212	7.590683352
213	7.59004803
214	7.589565089
215	7.589048704
216	7.588466512
217	7.587893587
218	7.587095077
219	7.586189304
220	7.585590402
221	7.584901683
222	7.584354674
223	7.583924306
224	7.583468764
225	7.582902288
226	7.582197282
227	7.581561113
228	7.581022748
229	7.580330264
230	7.57993342
231	7.579335365
232	7.578843133
233	7.578075164
234	7.577547724
235	7.576952368
236	7.576389001
237	7.576017156
238	7.575569068
239	7.575027646
240	7.574300034
241	7.573743339
242	7.573221731
243	7.572748818
244	7.57215035
245	7.571450767
246	7.570940097
247	7.570362039
248	7.569887831
249	7.569460145
250	7.568840252
251	7.568260167
252	7.567691696
253	7.567209701
254	7.566656507
255	7.56618302
256	7.565736635
257	7.565154283
258	7.564622439
259	7.564141034
260	7.563595515
261	7.563064624
262	7.562563807
263	7.562092285
264	7.561457315
265	7.560772743
266	7.560266304
267	7.559771805
268	7.559402089
269	7.5587831
270	7.558278735
271	7.55778268
272	7.557108704
273	7.556467753
274	7.556097186
275	7.55565766
276	7.555005238
277	7.554497653
278	7.553903139
279	7.553478468
280	7.553132539
281	7.552801092
282	7.552307629
283	7.551843549
284	7.551409153
285	7.550991046
286	7.550533172
287	7.550028399
288	7.549683382
289	7.549249907
290	7.54880798
291	7.548201064
292	7.54770938
293	7.547266001
294	7.546813584
295	7.546266607
296	7.545705509
297	7.545264346
298	7.544935517
299	7.544609768
