iter	Passed	Remaining
0	4	1313
1	8	1290
2	12	1207
3	15	1177
4	19	1143
5	23	1148
6	26	1128
7	30	1109
8	34	1103
9	37	1093
10	42	1107
11	46	1108
12	50	1115
13	54	1104
14	58	1112
15	61	1099
16	65	1094
17	69	1085
18	73	1084
19	76	1072
20	80	1068
21	84	1073
22	88	1070
23	92	1064
24	96	1056
25	99	1050
26	103	1041
27	107	1040
28	110	1031
29	114	1029
30	117	1021
31	121	1016
32	124	1010
33	128	1006
34	132	1000
35	135	993
36	139	990
37	142	983
38	146	979
39	150	978
40	154	978
41	158	973
42	161	967
43	165	963
44	169	958
45	172	954
46	176	949
47	179	944
48	183	939
49	187	935
50	190	930
51	193	925
52	197	920
53	201	916
54	205	914
55	208	909
56	211	903
57	215	898
58	218	893
59	222	889
60	225	885
61	229	881
62	233	879
63	237	876
64	241	872
65	244	868
66	248	863
67	252	861
68	255	856
69	259	851
70	262	847
71	266	843
72	269	839
73	273	834
74	276	829
75	280	826
76	283	821
77	287	817
78	290	813
79	294	809
80	297	804
81	301	802
82	305	797
83	308	792
84	311	788
85	315	784
86	318	780
87	322	777
88	327	776
89	331	772
90	335	770
91	339	768
92	344	767
93	348	763
94	353	763
95	357	758
96	360	754
97	364	750
98	368	748
99	372	744
100	375	740
101	379	736
102	383	734
103	387	731
104	391	727
105	395	723
106	399	720
107	402	715
108	405	710
109	408	706
110	412	701
111	415	697
112	419	693
113	422	689
114	425	685
115	429	681
116	433	677
117	436	673
118	440	670
119	444	667
120	448	662
121	452	660
122	455	656
123	459	652
124	462	647
125	466	643
126	469	639
127	472	634
128	475	630
129	478	626
130	482	622
131	486	618
132	489	614
133	492	610
134	496	606
135	501	604
136	505	601
137	508	597
138	511	592
139	515	589
140	519	585
141	522	581
142	527	578
143	530	574
144	535	572
145	538	568
146	542	564
147	545	560
148	549	556
149	552	552
150	555	548
151	559	544
152	562	540
153	566	536
154	569	532
155	573	528
156	576	525
157	580	521
158	583	517
159	586	513
160	590	509
161	594	506
162	598	502
163	601	498
164	605	495
165	608	491
166	611	487
167	615	483
168	619	479
169	623	476
170	626	472
171	629	468
172	633	465
173	636	461
174	639	457
175	643	453
176	646	449
177	650	445
178	653	442
179	657	438
180	660	434
181	664	431
182	668	427
183	671	423
184	674	419
185	677	415
186	681	411
187	684	407
188	687	404
189	691	400
190	694	396
191	697	392
192	701	388
193	704	385
194	708	381
195	711	377
196	715	373
197	718	370
198	721	366
199	724	362
200	728	358
201	732	355
202	736	351
203	739	348
204	742	344
205	746	340
206	750	336
207	753	333
208	757	329
209	761	326
210	765	322
211	768	318
212	771	315
213	775	311
214	779	307
215	782	304
216	785	300
217	790	297
218	794	293
219	798	290
220	801	286
221	804	282
222	808	278
223	811	275
224	814	271
225	818	268
226	822	264
227	825	260
228	829	257
229	832	253
230	836	249
231	839	246
232	842	242
233	846	238
234	849	234
235	852	231
236	856	227
237	859	223
238	863	220
239	866	216
240	869	212
241	873	209
242	876	205
243	879	201
244	883	198
245	886	194
246	889	190
247	892	187
248	896	183
249	899	179
250	903	176
251	906	172
252	910	169
253	913	165
254	917	161
255	920	158
256	924	154
257	927	151
258	930	147
259	934	143
260	938	140
261	941	136
262	945	132
263	948	129
264	951	125
265	955	122
266	958	118
267	962	114
268	965	111
269	968	107
270	972	104
271	975	100
272	978	96
273	982	93
274	985	89
275	988	85
276	992	82
277	995	78
278	998	75
279	1002	71
280	1005	67
281	1008	64
282	1011	60
283	1015	57
284	1018	53
285	1021	50
286	1025	46
287	1028	42
288	1031	39
289	1035	35
290	1038	32
291	1041	28
292	1045	24
293	1048	21
294	1051	17
295	1055	14
296	1058	10
297	1061	7
298	1064	3
299	1068	0
